"DL_score","ML_score","Truth"
0.74546164,0,"0"
0.97804034,0,"0"
0.9754091,0,"0"
0.14491576,0.49351877,"0"
0.47360012,0.25637957,"0"
0.21501799,0.14050451,"0"
0.97004324,0,"0"
0.963616,0.59142077,"0"
0.9552374,0.68661284,"0"
0.67356265,0.7234103,"0"
0.04059872,0,"0"
0.81420535,0,"0"
0.9995976,0,"0"
0.04790803,0,"0"
0.19762631,0.79536897,"0"
0.20130347,0.24790514,"0"
0.999788,0,"0"
0.9505578,0.09022915,"0"
0.0056019635,0,"0"
0.99993336,0,"0"
0.9989766,0,"0"
0.99046516,0.016109124,"0"
0.9999746,0,"0"
0.56568855,0.71666324,"0"
0.15543605,0,"0"
0.34460104,0.8124347,"0"
0.9976405,0,"0"
0.94070977,0.3038539,"0"
0.005938231,0.9582223,"0"
2.215284e-05,0,"0"
0.57915145,0,"0"
0.0075062816,0.9489148,"0"
0.04665112,0.8094372,"0"
0.738094,0,"0"
0.9999895,0.1330257,"0"
0.9999981,0.16340722,"0"
0.99993694,0.17032039,"0"
0.9999999,0.9783654,"0"
0.5693178,0.6611695,"1"
0.6211415,0.17163801,"0"
0.9919951,0,"0"
0.6253329,0.6663789,"0"
0.9434522,0.69012713,"0"
0.115049616,0,"0"
0.9995969,0.13329291,"0"
0.36090007,0.44616914,"0"
0.6307302,0,"0"
0.022272704,0,"0"
0.965256,0,"0"
0.99999976,0,"0"
7.734437e-06,0.07837114,"0"
0.7762219,0,"0"
0.9990639,0.3035443,"0"
0.96968013,0.7303349,"0"
0.904828,0.9149002,"0"
0.7708455,0,"0"
0.9428647,0,"0"
0.88131803,0,"0"
0.062655956,0.6572072,"0"
0.6036372,0.65177006,"0"
0.9999989,0,"0"
0.73520374,0.95614606,"0"
0.02314499,0.986312,"0"
0.4281947,0,"0"
0.6626907,0.85699254,"0"
0.990426,0.9420498,"0"
0.72713274,0.9867796,"0"
0.019119252,0,"0"
0.10540473,0.33468166,"0"
0.6480169,0,"0"
0.9999821,0.11829751,"0"
0.28840914,0.26333994,"0"
0.12927957,0.39621198,"0"
0.3148117,0,"0"
0.31658545,0.85280997,"0"
0.7376156,0.7373709,"0"
0.17712454,0.150299,"0"
0.51052135,0,"0"
0.5788784,0,"0"
0.46862695,0.63857377,"0"
0.82899225,0.25425345,"0"
0.88464797,0.8598409,"0"
0.99999976,0,"0"
0.46158674,0.2387805,"0"
0.24163315,0,"0"
0.0866288,0,"0"
0.27365997,0.9682625,"0"
0.7674887,0,"0"
0.222745,0.057746112,"0"
0.99786633,0,"0"
0.9526857,0.29995102,"0"
0.9694659,0,"0"
0.13342975,0,"0"
0.0883859,0.2098818,"0"
0.21798953,0.28296176,"0"
0.004381419,0,"0"
0.0029445188,0.46625426,"0"
0.27730218,0.22043917,"0"
0.28018528,0.37780014,"0"
0.65707034,0,"0"
0.5058526,0.96128774,"0"
0.18801853,0.7883345,"0"
0.37574837,0.99856335,"0"
0.36936507,0,"0"
0.00068708,0,"0"
0.013219673,0,"0"
0.79849213,0.24050802,"0"
0.98098135,0.5224325,"0"
0.021046482,0.5566563,"0"
0.023964578,0,"0"
0.9123211,0.71139336,"0"
0.9998795,0,"0"
0.2673155,0.4283047,"0"
0.028970176,0.17356826,"0"
0.5411709,0.69519717,"0"
0.9995492,0.94246453,"0"
0.22084127,0,"0"
0.0698297,0.7890112,"0"
0.09039644,0.2728499,"0"
0.312707,0.69909054,"0"
0.7279429,0,"0"
0.62755746,0,"0"
0.004128226,0.9556886,"0"
0.27787247,0.8585094,"0"
0.47831738,0,"0"
0.8981499,0,"0"
0.10286327,0.71634316,"0"
0.42465997,0,"0"
0.0005516946,0.42500377,"0"
0.016679987,0.22816256,"0"
0.28563324,0.07474727,"0"
0.0032892644,0,"0"
0.036433004,0,"0"
0.0020919174,0,"0"
0.18367307,0.028262066,"0"
0.34540734,0.0033143673,"0"
0.96695477,0,"0"
0.28321022,0,"0"
0.98528636,0.19040504,"0"
0.05347943,0,"0"
1,0.84127796,"0"
0.76146835,0,"0"
0.057673354,0.9666371,"0"
0.03888344,0,"0"
0.05269375,0.7461746,"0"
0.9002033,0.0107568335,"0"
0.95846987,0.23904502,"0"
0.99614966,0.037564512,"0"
0.3980965,0,"0"
0.16009137,0.96774846,"0"
0.39944193,0,"0"
0.64862186,0.062356565,"0"
0.024317935,0.55948627,"0"
2.7981601e-05,0.19335,"0"
0.00032762645,0.71800244,"0"
0.069779634,0,"0"
0.6552135,0.09704336,"0"
0.73887295,0,"1"
0.004201629,0.027910184,"0"
0.000530463,0,"0"
0.8198693,0,"0"
0.8895768,0.9734833,"0"
