DL_score,ML_score,Fusion_Pred_Prob
0.22969285,0.0,0.5901782036387226
0.43561524,0.0,0.7563262201401165
0.78079665,0.0,0.918333542854098
0.99999154,0.9863283,0.9636110343946007
0.0050062444,0.9989943,0.3932561305999454
0.15907244,0.99936706,0.5351727417806286
0.2275621,0.59195596,0.5939220531274073
0.7633172,0.034727942,0.9134184468048026
0.104924954,0.0,0.474873400501523
0.9256594,0.3759067,0.9514336616595465
0.09188128,0.0,0.46276045847666686
0.99429446,0.2093491,0.9617422662690299
0.25598225,0.9728661,0.622759371590865
0.34971774,0.0,0.6926009784310083
1.0,0.9314181,0.963535800763482
0.20518756,0.0,0.5679066211951637
0.08664635,0.71410227,0.46493965214421834
0.999982,0.0,0.9622147485326451
0.9972053,0.59826297,0.9626968409855908
0.9642455,0.0,0.9570594074068306
0.22066455,0.0,0.5820107323174569
0.13989542,0.0,0.5074552488859378
0.9977847,0.0,0.9619156927556579
0.006512335,0.0,0.38518481308549424
0.025893357,0.0,0.4024369487634069
0.005006259,0.0,0.38385557744923143
0.15397514,0.0,0.520570961419274
0.23688124,0.0,0.5966460532366789
0.08579728,0.9948073,0.46691844885230616
0.70307964,0.4105322,0.8953272425398907
0.058783922,0.9132871,0.44115179120145664
0.06637935,0.44530842,0.4435665411623943
1.0,0.0,0.9622171879241552
0.55027634,0.0,0.8263884661579868
0.008629957,0.0,0.38705670009570453
0.079498805,0.0,0.4513018345438961
0.094497636,0.5971219,0.47107586518916184
1.0,0.0,0.9622171879241552
0.00406409,0.99202067,0.3923522439530834
0.66559803,0.0,0.8797759745714252
0.91208035,0.0,0.9483145454223004
0.89043003,0.0,0.9442108356209128
0.91674197,0.0,0.949160015706273
0.0047419937,0.0,0.38362251797392816
0.6661846,0.987362,0.8840758422629037
0.7575495,0.0,0.9115913913522025
0.12760763,0.0,0.49599975778665945
0.0050062397,0.0,0.38385556485474454
0.9971732,0.0,0.9618320635579496
0.36623698,0.0,0.7055590733303596
0.32890856,0.0,0.675836771274471
0.9997429,0.32993862,0.9626549982839175
0.03471078,0.040326197,0.410755874778033
0.22108969,0.0,0.5823963943232858
0.00316223,0.55677027,0.38745122444923563
0.5295827,0.0,0.8150362038442942
0.12152381,0.0,0.49032883130125754
0.0050062425,0.0,0.38385556485474454
0.16809462,0.93170553,0.5428669716482013
0.08264529,0.94270176,0.4634805755186058
0.15223038,0.9572624,0.5284044109759458
0.14736132,0.0,0.5144124000163501
0.9971591,0.9353834,0.9631673157377741
0.06411745,0.97370064,0.4466523805743091
0.1473613,0.120950095,0.5156089801835885
1.0,0.41317666,0.9628076849436639
0.03707034,0.9275448,0.42143143280383855
0.5109213,0.86862016,0.8096726412955743
0.004215574,0.0,0.3831584221829498
0.005006235,0.0,0.3838555585575011
0.06352545,0.0,0.4365978669012304
0.06873273,0.0,0.44138038072789787
0.9999963,0.7644468,0.9633022387216768
0.1396232,0.0,0.5072015011247837
0.99824893,0.0,0.9619790665309128
0.712752,0.0,0.8971692817042886
0.98517424,0.0,0.9601549613695903
0.40457293,0.0,0.7343638735511666
0.06369182,0.0,0.4367504832836631
0.2961538,0.0,0.6485229755617365
0.0050062425,0.0,0.38385556485474454
0.99469286,0.9915787,0.9629191946910388
0.1950533,0.0,0.5586097894911621
0.19455281,0.17644247,0.5598723878152544
0.01820159,0.0,0.395558541971145
0.5051544,0.0,0.8009069834727984
0.15666363,0.0,0.5230726999042717
0.06495921,0.0,0.4379135366786128
0.042625714,0.0,0.4175298575905153
0.030519485,0.003669389,0.40662771488075555
0.998858,0.8399201,0.9632578208260533
0.108756006,0.8890825,0.4872307319082116
0.2743825,0.19547756,0.6316041225446066
0.865652,0.18780784,0.9395625241061567
0.17051333,0.025181968,0.5361873993519367
0.5335763,0.7705885,0.8217850131964716
0.9492713,0.77741116,0.9560180577686179
0.1054872,0.73094624,0.4826214739575113
0.042917587,0.8319488,0.42583117700145073
0.7666739,0.0,0.9142956077322262
0.9486522,0.5431667,0.9555282696879529
0.019529924,0.0,0.39674354280879875
0.27367568,0.0,0.6291859297045036
0.3883046,0.0,0.7223619900596253
0.62426066,0.93680674,0.8668348576710418
0.20562826,0.0,0.5683098710537372
0.7094889,0.0,0.8960411746940806
0.016833626,0.0,0.39433946643048534
0.9999839,0.0,0.9622150118393306
0.117151774,0.0,0.48625495919961187
0.028440276,0.0,0.4047231828395928
0.0026817697,0.24773017,0.3841261272776063
0.04531496,0.96578115,0.4293168208548708
0.005006247,0.858298,0.3919272099543818
0.03307933,0.101406485,0.4098691606954981
0.18765341,0.0,0.5517949451917248
0.9202159,0.0,0.9497815464882653
0.38465858,0.0,0.719626820150939
0.98298764,0.0,0.9598418189483647
0.01870616,0.0,0.3960085202887448
0.046710975,0.0,0.4212395900510715
0.16798921,0.0,0.5335974324736429
0.5908114,0.0,0.8470191888385976
0.9983329,0.0,0.9619905172564963
0.9935456,0.0,0.9613323063504221
0.7241948,0.0,0.9010399970584863
0.9477154,0.0,0.9544533842199205
0.05210356,0.0,0.42615005378322435
0.057273965,0.0,0.43087193452408457
0.9999832,0.98655057,0.9636102525908457
0.22262383,0.5174229,0.5887582942128375
0.99999285,0.0,0.962216219929759
0.9876987,0.0,0.9605135677256772
0.15484618,0.0,0.5213816074373875
0.29919562,0.947738,0.6595828939542462
0.12840804,0.0,0.49674596193898374
0.0049855257,0.0,0.383837296715479
0.57065755,0.0,0.8370242702389038
0.0050062425,0.0,0.38385556485474454
0.08049897,0.0,0.4522256282572052
0.16392048,0.0,0.5298193577370237
0.27590343,0.96918505,0.640013479701485
1.0,0.0,0.9622171879241552
0.9361125,0.0,0.9525349065946349
0.116427615,0.0,0.48558034842464487
0.08721414,0.0,0.4584362497142782
0.20539497,0.0,0.5680964132195309
0.017934797,0.0,0.39532067648345454
0.0,0.9408709,0.3882634839219683
0.278906,0.0,0.6337251257496147
0.91683143,0.0,0.9491761096185554
0.51162976,0.15771872,0.8057094235558642
0.15435962,0.10748818,0.5219912198740905
0.089735806,0.62658757,0.4669440634581352
0.028326357,0.0,0.4046208338396677
0.01463833,0.97268176,0.40160857589294796
0.04859004,0.90875435,0.4317575004400857
1.0,0.97273594,0.9635932573124748
0.14322677,0.0,0.5105601055080432
0.94983655,0.0,0.9547960313114973
0.6197288,0.47592556,0.8627241755707421
0.09452593,0.0,0.46521331613571576
0.18715142,0.0,0.5513319103608832
0.23561637,0.0,0.5955103339662187
2.5951984e-05,0.70945615,0.38611156409341585
1.0,0.9983708,0.9636288613323534
0.22324492,0.9901135,0.5938426538091592
0.38988927,0.0,0.7235456348707128
0.9941572,0.0,0.961417002435943
0.9999958,0.9961125,0.9636251811921271
0.05347697,0.0,0.4274030486230259
0.8637689,0.99771166,0.9409698031938601
