"protein.id","Adrenal","BAT","Brain","Eye","GAT","Heart","Kidney","Liver","Lung","MAT","Muscle","Pancreas","Prostate","SCAT","Skin","Small","Spleen","Stomach","Testis","Thymus","Tongue","Urinary"
"Q9CX30",1637563.3,2779715,3223667.5,2281656.7,2049860,2393352.5,1418844.2,1345550,1377562.5,1531885,967258.2,4105942.5,1192492.5,3968662.5,1185669.2,1470330,3055195,558685.8,2328062.5,2492747.5,684376.2,598892.7
"Q9CXB2",180445.3333,574554.2198,452.7715,452.7715,904130.75,55854.8685,452.7715,175543.7213,535048.75,548232.75,1026499.1798,452.7715,452.7715,376995.75,571118.25,424756.9147,452.7715,452.7715,452.7715,89646.45,452.7715,296477
"Q9CXD6",1723700,3205452.5,452.7715,309817.3333,1245800,2785940,1278847.5,250620.25,352189,1399035,503154.25,275256.75,1007706.25,1134887.5,1593985,254319,206664,386807.75,112127.825,240840.5,2742680,249398.6667
"Q9CXJ4",6674070,17279625,724483.2,1667153.3,2781442.5,26195925,4771775,2228240,861161.2,4045792.5,10215145,642679.5,1211465,4888207.5,2812280,1387055,500430.5,1294277.5,745721.8,927325.2,20422175,1018006.3
"Q9CXT7",4129173.3,4435722.5,636160.2,3425390,6466577.5,900348,2259777.5,1182472.5,816255,3658680,636719.5,1856390,1186200,5319847.5,2988312.5,995037.2,2216402.5,1016285,1334060,2978985,1102890,840610.3
"Q9CXY9",6122197,5682325,4417528,5055760,7208500,2000628,4653525,2504568,2944212,4459450,1068760,3608082,2670530,4939952,3386295,7910722,4718170,2276038,4775172,4512500,1338978,2170937
"Q9CY24",1128826.7,2285150,420003,536634.7,2497277.5,735648,2971612.5,2516052.5,1499315,2194257.5,649417.8,727080.2,336735.2,3018602.5,1930920,2145695,2420352.5,846719.5,267010.8,2027632.5,255087,394952.3
"Q9CY27",41051633,67749425,12848700,32721333,45615375,10085735,37600325,25212075,10848625,36507125,29332300,27180375,19429725,41585600,19612175,21672775,10687490,7712505,10037722,15070950,6364132,18636333
"Q9CYN2",12616767,11182900,4061355,8630203,12585500,2725500,8109765,16802250,8837350,9446710,6781002,63133475,16421050,13041475,12725500,13403025,16707175,5779988,7181930,11798250,3405575,7465427
"Q9CYN9",5191550,2252942.5,6600725,8904233.3,2076520,809778.5,3281837.5,3230052.5,1405230,1758670,1249787.5,2021875,1930545,2087600,1456825,3257310,2658585,2126152.5,3026242.5,4651435,866745.8,1729673.3
"Q9CZB9",665981.6667,2001962.5,226007.75,524904.3333,690899.25,133351.3765,967074.75,524279,537666.75,697828.75,410005.5,666637.25,145893.75,693121.25,152037.7378,1021198,640799.75,326769.75,1554622.5,959576.25,452.7715,479642
"Q9CZW4",1634636.7,2687872.5,7699517.5,27923133.3,1320190,401685,3112940,1483655,823198.8,1401090,836073.2,1449490,1761105,1758067.5,848219.8,2282547.5,1690402.5,2172182.5,6365227.5,4323307.5,875420,2140256.7
"Q9CZW5",15594033,19639275,7349382,11045467,8961978,17626375,3517835,8207780,4099922,9575085,15976650,2874655,5623472,13576450,1212092,3611180,4615585,4213012,3216300,4712578,9975735,5052343
"Q9CZX9",12729733,23924125,9169900,10582770,17320650,5328895,14002050,7633100,4654432,11984575,5975552,9943738,4494262,13017425,5132698,7436578,7265442,3268200,3994372,9888105,2911722,4742593
"Q9D0V7",996247.6667,1175095.75,1638460,1719823.3333,780980.25,923823.75,1429695,2375207.5,497124,826817.5,3844022.5,1708347.5,1040566.5,1431350,557507.8905,925320.25,1060070.75,967263.25,363989.25,918101,452.7715,786416.3333
"Q9D132",712026.3,1523951,452.7715,546624.7,1537828,452.7715,853676.5,3964464,166195.1,1273848,452.7715,452.7715,3169872,452.7715,452.7715,452.7715,452.7715,452.7715,3489157,396971.5,452.7715,31422150
"Q9D162",1306020,2767587.5,1238194,1573483.3,966915.2,2120077.5,985925,2177710,606795.8,1081882.5,7358405,1309535,619801,1210613.5,1196392.5,1830895,1185821,620692.8,254582,1234805,895965.2,330454.3
"Q9D164",6707106.67,1476977.5,19107250,3734570,337437.25,307499.25,387090.75,80302.05,145417.75,802639.25,2967820,1117177.5,1151597.5,391333.25,622391,721520,184536.25,807678,3865500,238651,4789285,601613.33
"Q9D1D4",34059767,46971050,14721700,32784567,42487275,16703625,39887050,52072800,17121675,31585900,29702050,91458400,45784000,37126275,31409650,47789400,29197225,25018000,16542675,27497275,11433830,24246067
"Q9D2C7",2010093.3,4210260,216553,1257586.7,3180492.5,1174455.5,8103392.5,7576600,1943162.5,2540412.5,1313720,1846140,2493860,2330800,1591742.5,7633237.5,1832362.5,1467300,990590.8,2608137.5,942456.2,1104470
"Q9D2R6",20362533,39484675,1635570,8105980,5789405,33461900,7996892,14534350,2604670,5587770,18171150,3980960,8470158,9161282,3849300,5920568,2237730,5386155,618230,3082030,33146575,5108260
"Q9D304",488683.3333,452.7715,407115,153609.7138,138372.1257,976027.5,1437865,2526537.5,452.7715,107479.3258,278759.5,412953.75,1146650,452.7715,136219.7822,7624825,452.7715,1980822.75,118844.75,515584.25,452.7715,1745296.6667
"Q9D3A9",96256.0667,43294.1079,9125892.5,8833793.3333,39899.5492,452.7715,18704.6822,452.7715,54025.255,452.7715,167482.2459,1182270,43862.3155,42260.311,77585.3,59844,68447.0875,31186.0375,496338.75,452.7715,452.7715,452.7715
"Q9D3B1",12227300,21660350,1154382,4679913,65644400,1883635,13182500,7783405,3385625,19928780,452.7715,3610018,13290320,14555850,10485750,4049928,1211653,1347068,4931700,6503550,565961.5,7971517
"Q9D4F2",2036293.3,3557020,2918267.5,1974896.7,3373767.5,553284.8,2428897.5,997755,782614.8,2001957.5,213775.1,1148430.8,522167.8,2611042.5,1297785,3787615,1142282.8,697482.2,1439095,1392735,215602,525864.7
