"protein","entry_name","description","family","expression_tissue","gene_symbol"
"O94966","UBP19_HUMAN","Ubiquitin carboxyl-terminal hydrolase 19","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","USP19"
"O94985","CSTN1_HUMAN","Calsyntenin-1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CLSTN1"
"O94991","SLIK5_HUMAN","SLIT and NTRK-like protein 5","Other TMPs","Brain\Eye\Prostate\Testis","SLITRK5"
"O95069","KCNK2_HUMAN","Potassium channel subfamily K member 2 channel subunit","Ion-channels","Brain\Lung\Thymus","KCNK2"
"O95070","YIF1A_HUMAN","Protein YIF1A","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","YIF1A"
"O95136","S1PR2_HUMAN","Sphingosine 1-phosphate receptor 2","GPCR","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","S1PR2"
"O95139","NDUB6_HUMAN","NADH dehydrogenase 1 beta subcomplex subunit 6","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NDUFB6"
"O95140","MFN2_HUMAN","Mitofusin-2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MFN2"
"O95159","ZFPL1_HUMAN","Zinc finger protein-like 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ZFPL1"
"O95167","NDUA3_HUMAN","NADH dehydrogenase 1 alpha subcomplex subunit 3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NDUFA3"
"O95168","NDUB4_HUMAN","NADH dehydrogenase 1 beta subcomplex subunit 4","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NDUFB4"
"O95169","NDUB8_HUMAN","NADH dehydrogenase 1 beta subcomplex subunit 8, mitochondrial","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NDUFB8"
"O95183","VAMP5_HUMAN","Vesicle-associated membrane protein 5","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","VAMP5"
"O95185","UNC5C_HUMAN","Netrin receptor UNC5C","Other TMPs","Adrenal\Brain\Eye\Kidney\Lung\MAT\SCAT\Small\Spleen\Thymus\Urinary","UNC5C"
"O95196","CSPG5_HUMAN","Chondroitin sulfate proteoglycan 5","Other TMPs","Adrenal\Brain\Eye\Liver\Testis\Urinary","CSPG5"
"O95197","RTN3_HUMAN","Reticulon-3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","RTN3"
"O95202","LETM1_HUMAN","Mitochondrial proton/calcium exchanger protein/Hexchanger","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","LETM1"
"O95206","PCDH8_HUMAN","Protocadherin-8","Other TMPs","Adrenal\Brain\Eye\Lung\MAT\Muscle\Prostate\Skin\Urinary","PCDH8"
"O95210","STBD1_HUMAN","Starch-binding domain-containing protein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","STBD1"
"O95214","LERL1_HUMAN","Leptin receptor overlapping transcript-like 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","LEPROTL1"
"O95237","LRAT_HUMAN","Lecithin retinol acyltransferase","Other TMPs","Eye\Liver\Lung\MAT\Skin\Small\Spleen\Testis\Thymus","LRAT"
"O95249","GOSR1_HUMAN","Golgi SNAP receptor complex member 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","GOSR1"
"O95255","MRP6_HUMAN","ATP-binding cassette sub-family C member 6","Transporter","Brain\Heart\Kidney\Liver\MAT\Pancreas\Small\Spleen\Thymus","ABCC6"
"O95258","UCP5_HUMAN","Brain mitochondrial carrier protein 1","Transporter","Adrenal\Brain\Eye\Pancreas\Prostate\Skin","SLC25A14"
"O95297","MPZL1_HUMAN","Myelin protein zero-like protein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MPZL1"
"O95298","NDUC2_HUMAN","NADH dehydrogenase 1 subunit C2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","NDUFC2"
"O95342","ABCBB_HUMAN","Bile salt export pump","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ABCB11"
"O95395","GCNT3_HUMAN","Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3","Other TMPs","MAT\Small\Stomach\Urinary","GCNT3"
"O95406","CNIH1_HUMAN","Protein cornichon homolog 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","CNIH1"
"O95415","BRI3_HUMAN","Membrane protein BRI3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","BRI3"
"O95436","NPT2B_HUMAN","Sodium-dependent phosphate transport protein 2B-dependent phosphate cotransporter 2B/Pi cotransporter 2B","Transporter","Eye\GAT\Kidney\Lung\MAT\Prostate\Skin\Small\Stomach\Testis\Thymus\Urinary","SLC34A2"
"O95461","LARG1_HUMAN","Xylosyl- and glucuronyltransferase LARGE1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Tongue\Urinary","LARGE1"
"O95470","SGPL1_HUMAN","Sphingosine-1-phosphate lyase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SGPL1"
"O95471","CLD7_HUMAN","Claudin-7","Other TMPs","Adrenal\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","CLDN7"
"O95476","CNEP1_HUMAN","CTD nuclear envelope phosphatase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CTDNEP1"
"O95477","ABCA1_HUMAN","Phospholipid-transporting ATPase ABCA1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ABCA1"
"O95484","CLD9_HUMAN","Claudin-9","Other TMPs","Brain\GAT\Kidney\Pancreas\Thymus","CLDN9"
"O95528","GTR10_HUMAN","Solute carrier family 2, facilitated glucose transporter member 10","Transporter","Eye\GAT\Pancreas\Prostate\SCAT\Skin\Small\Stomach","SLC2A10"
"O95562","SFT2B_HUMAN","Vesicle transport protein SFT2B","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SFT2D2"
"O95563","MPC2_HUMAN","Mitochondrial pyruvate carrier 2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MPC2"
"O95573","ACSL3_HUMAN","Fatty acid CoA ligase Acsl3","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ACSL3"
"O95622","ADCY5_HUMAN","Adenylate cyclase type 5","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","ADCY5"
"O95674","CDS2_HUMAN","Phosphatidate cytidylyltransferase 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CDS2"
"O95754","SEM4F_HUMAN","Semaphorin-4F","Other TMPs","Brain\Spleen\Testis\Thymus","SEMA4F"
"O95772","STR3N_HUMAN","STARD3 N-terminal-like protein","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","STARD3NL"
"O95803","NDST3_HUMAN","Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3-glucosamine N-sulfotransferase NDST3]","Other TMPs","Brain\Small\Stomach","NDST3"
"O95807","TM50A_HUMAN","Transmembrane protein 50A","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM50A"
"O95832","CLD1_HUMAN","Claudin-1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CLDN1"
"O95833","CLIC3_HUMAN","Chloride intracellular channel protein 3","Ion-channels","BAT\GAT\Kidney\Lung\MAT\Pancreas\Prostate\Skin\Stomach\Tongue\Urinary","CLIC3"
"O95857","TSN13_HUMAN","Tetraspanin-13","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","TSPAN13"
"O95858","TSN15_HUMAN","Tetraspanin-15","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TSPAN15"
"O95859","TSN12_HUMAN","Tetraspanin-12","Other TMPs","Adrenal\BAT\GAT\Kidney\Liver\Urinary","TSPAN12"
"O95864","FADS2_HUMAN","Acyl-CoA 6-desaturase fatty acid desaturase desaturase","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FADS2"
"O95866","G6B_HUMAN","Megakaryocyte and platelet inhibitory receptor G6b","Other TMPs","BAT\Lung\Skin\Spleen\Tongue","MPIG6B"
"O95870","ABHGA_HUMAN","Phosphatidylserine lipase ABHD16A","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ABHD16A"
"O95976","IGSF6_HUMAN","Immunoglobulin superfamily member 6","Other TMPs","Adrenal\BAT\Brain\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Testis\Thymus\Tongue\Urinary","IGSF6"
"O95977","S1PR4_HUMAN","Sphingosine 1-phosphate receptor 4","GPCR","GAT\Kidney\Lung\MAT\SCAT\Small\Spleen\Thymus","S1PR4"
"O96005","CLPT1_HUMAN","Putative lipid scramblase CLPTM1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CLPTM1"
"O96008","TOM40_HUMAN","Mitochondrial import receptor subunit TOM40 homolog","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TOMM40"
"O96011","PX11B_HUMAN","Peroxisomal membrane protein 11B","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PEX11B"
"O96024","B3GT4_HUMAN","Beta-1,3-galactosyltransferase 4","Other TMPs","Adrenal\BAT\Eye\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","B3GALT4"
"P00156","CYB_HUMAN","Cytochrome b","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MT-CYB"
"P00167","CYB5_HUMAN","Cytochrome b5","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CYB5A"
"P00395","COX1_HUMAN","Cytochrome c oxidase subunit 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MT-CO1"
"P00403","COX2_HUMAN","Cytochrome c oxidase subunit 2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MT-CO2"
"P00414","COX3_HUMAN","Cytochrome c oxidase subunit 3","Other TMPs","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MT-CO3"
"P00533","EGFR_HUMAN","Epidermal growth factor receptor","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","EGFR"
"P00846","ATP6_HUMAN","ATP synthase F complex subunit a complex subunit a","Transporter","BAT\GAT\Heart\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Stomach\Thymus\Tongue","MT-ATP6"
"P01130","LDLR_HUMAN","Low-density lipoprotein receptor","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","LDLR"
"P01133","EGF_HUMAN","Pro-epidermal growth factor","Other TMPs","BAT\Brain\Eye\Heart\Kidney\Muscle\Pancreas\Prostate\Skin\Stomach\Tongue\Urinary","EGF"
"P01135","TGFA_HUMAN","Protransforming growth factor alpha","Other TMPs","Adrenal\Brain\Eye\Lung\MAT\Pancreas\Prostate\Small\Stomach\Testis\Urinary","TGFA"
"P01589","IL2RA_HUMAN","Interleukin-2 receptor subunit alpha","Catalytic receptors","Lung\MAT\Prostate\SCAT\Small\Spleen\Thymus","IL2RA"
"P01730","CD4_HUMAN","T-cell surface glycoprotein CD4","Other TMPs","BAT\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","CD4"
"P01833","PIGR_HUMAN","Polymeric immunoglobulin receptor","Other TMPs","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","PIGR"
"P02708","ACHA_HUMAN","Acetylcholine receptor subunit alpha","Ion-channels","Muscle\Skin\Tongue","CHRNA1"
"P02730","B3AT_HUMAN","Band 3 anion transport protein","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC4A1"
"P02748","CO9_HUMAN","Complement component C9","Other TMPs","Adrenal\BAT\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","C9"
"P02786","TFR1_HUMAN","Transferrin receptor protein 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TFRC"
"P03886","NU1M_HUMAN","NADH-ubiquinone oxidoreductase chain 1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MT-ND1"
"P03891","NU2M_HUMAN","NADH-ubiquinone oxidoreductase chain 2","Transporter","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MT-ND2"
"P03897","NU3M_HUMAN","NADH-ubiquinone oxidoreductase chain 3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MT-ND3"
"P03901","NU4LM_HUMAN","NADH-ubiquinone oxidoreductase chain 4L","Transporter","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Stomach\Thymus\Tongue\Urinary","MT-ND4L"
"P03905","NU4M_HUMAN","NADH-ubiquinone oxidoreductase chain 4","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MT-ND4"
"P03915","NU5M_HUMAN","NADH-ubiquinone oxidoreductase chain 5","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","MT-ND5"
"P04035","HMDH_HUMAN","3-hydroxy-3-methylglutaryl-coenzyme A reductase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","HMGCR"
"P04233","HG2A_HUMAN","HLA class II histocompatibility antigen gamma chain","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CD74"
"P04234","CD3D_HUMAN","T-cell surface glycoprotein CD3 delta chain","Other TMPs","BAT\Kidney\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Thymus","CD3D"
"P04626","ERBB2_HUMAN","Receptor tyrosine-protein kinase erbB-2","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ERBB2"
"P04839","CY24B_HUMAN","NADPH oxidase 2 subunit beta","Ion-channels","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","CYBB"
"P04843","RPN1_HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","RPN1"
"P04844","RPN2_HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","RPN2"
"P04921","GLPC_HUMAN","Glycophorin-C","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","GYPC"
"P05023","AT1A1_HUMAN","Sodium/potassium-transporting ATPase subunit alpha-1/K ATPase alpha-1 subunit","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ATP1A1"
"P05026","AT1B1_HUMAN","Sodium/potassium-transporting ATPase subunit beta-1","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ATP1B1"
"P05067","A4_HUMAN","Amyloid-beta precursor protein precursor protein","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","APP"
"P05106","ITB3_HUMAN","Integrin beta-3","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ITGB3"
"P05141","ADT2_HUMAN","ADP/ATP translocase 2","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SLC25A5"
"P05362","ICAM1_HUMAN","Intercellular adhesion molecule 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ICAM1"
"P05556","ITB1_HUMAN","Integrin beta-1","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ITGB1"
"P05981","HEPS_HUMAN","Serine protease hepsin","Other TMPs","Adrenal\BAT\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\Skin\Spleen\Stomach\Testis\Thymus\Tongue","HPN"
"P06127","CD5_HUMAN","T-cell surface glycoprotein CD5","Other TMPs","BAT\Brain\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary","CD5"
"P06213","INSR_HUMAN","Insulin receptor","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","INSR"
"P06729","CD2_HUMAN","T-cell surface antigen CD2","Other TMPs","BAT\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Thymus\Tongue\Urinary","CD2"
"P06734","FCER2_HUMAN","Low affinity immunoglobulin epsilon Fc receptor","Catalytic receptors","Lung\MAT\Pancreas\SCAT\Small\Spleen\Thymus","FCER2"
"P06756","ITAV_HUMAN","Integrin alpha-V","Catalytic receptors","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ITGAV"
"P07099","HYEP_HUMAN","Epoxide hydrolase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","EPHX1"
"P07204","TRBM_HUMAN","Thrombomodulin","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","THBD"
"P07306","ASGR1_HUMAN","Asialoglycoprotein receptor 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Liver\Lung\MAT\Pancreas\SCAT\Spleen\Stomach","ASGR1"
