"protein","entry_name","description","family","expression_tissue","gene_symbol"
"Q9BVG9","PTSS2_HUMAN","Phosphatidylserine synthase 2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","PTDSS2"
"Q9BVI4","NOC4L_HUMAN","Nucleolar complex protein 4 homolog","Other TMPs","Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary","NOC4L"
"Q9BVK2","ALG8_HUMAN","Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferaseManGlcNAc-PP-dolichyl alpha-1,3-glucosyltransferase","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ALG8"
"Q9BVK6","TMED9_HUMAN","Transmembrane emp24 domain-containing protein 9","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMED9"
"Q9BVK8","TM147_HUMAN","BOS complex subunit TMEM147","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TMEM147"
"Q9BVV7","TIM21_HUMAN","Mitochondrial import inner membrane translocase subunit Tim21","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TIMM21"
"Q9BVV8","F174C_HUMAN","Protein FAM174C","Other TMPs","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","FAM174C"
"Q9BVX2","T106C_HUMAN","Transmembrane protein 106C","Other TMPs","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Spleen\Testis\Thymus\Urinary","TMEM106C"
"Q9BW60","ELOV1_HUMAN","Very long chain fatty acid elongase 1","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","ELOVL1"
"Q9BWL3","CA043_HUMAN","Protein C1orf43","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","C1orf43"
"Q9BWM7","SFXN3_HUMAN","Sideroflexin-3","Transporter","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","SFXN3"
"Q9BWQ6","YIPF2_HUMAN","Protein YIPF2","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","YIPF2"
"Q9BWQ8","LFG2_HUMAN","Protein lifeguard 2","Other TMPs","Adrenal\Brain\Eye\Lung\Prostate","FAIM2"
"Q9BX59","TPSNR_HUMAN","Tapasin-related protein","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","TAPBPL"
"Q9BX67","JAM3_HUMAN","Junctional adhesion molecule C","Other TMPs","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary","JAM3"
