"protein","entry_name","description","family","gene_symbol","expression_tissue"
"P08684","CP3A4_HUMAN","Cytochrome P450 3A4","Other TMPs","CYP3A4",""
"P08842","STS_HUMAN","Steryl-sulfatase","Other TMPs","STS",""
"P08887","IL6RA_HUMAN","Interleukin-6 receptor subunit alpha","Catalytic receptors","IL6R",""
"P08908","5HT1A_HUMAN","5-hydroxytryptamine receptor 1A","GPCR","HTR1A","brain"
"P08910","ABHD2_HUMAN","Monoacylglycerol lipase ABHD2","Other TMPs","ABHD2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"P08912","ACM5_HUMAN","Muscarinic acetylcholine receptor M5","GPCR","CHRM5","brain"
"P08913","ADA2A_HUMAN","Alpha-2A adrenergic receptor","GPCR","ADRA2A","Ad\BAT\brain\eye\GAT\Kidney\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\Ub"
"P08922","ROS1_HUMAN","Proto-oncogene tyrosine-protein kinase ROS","Catalytic receptors","ROS1","testis\Ub"
"P08962","CD63_HUMAN","CD63 antigen","Transporter","CD63","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P08F94","PKHD1_HUMAN","Fibrocystin","Other TMPs","PKHD1","GAT\Kidney\Pancreas\Ub"
"P09131","P3_HUMAN","P3 protein","Transporter","SLC10A3","Ad\BAT\lung\Pancreas\prostate\skin\Stomach\thymus\Ub"
"P09172","DOPO_HUMAN","Dopamine beta-hydroxylase","Other TMPs","DBH","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\Ub"
"P09564","CD7_HUMAN","T-cell antigen CD7","Other TMPs","CD7","MAT\SCAT\skin\SmallIntestine\Spleen\thymus"
"P09601","HMOX1_HUMAN","Heme oxygenase 1","Other TMPs","HMOX1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P09603","CSF1_HUMAN","Macrophage colony-stimulating factor 1","Other TMPs","CSF1","Ad\GAT\heart\Kidney\lung\MAT\SCAT\skin\Spleen\testis\thymus\tongue\Ub"
"P09619","PGFRB_HUMAN","Platelet-derived growth factor receptor beta","Catalytic receptors","PDGFRB","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P09669","COX6C_HUMAN","Cytochrome c oxidase subunit 6C","Other TMPs","COX6C","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P09693","CD3G_HUMAN","T-cell surface glycoprotein CD3 gamma chain","Other TMPs","CD3G","BAT\GAT\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\Ub"
"P09758","TACD2_HUMAN","Tumor-associated calcium signal transducer 2","Other TMPs","TACSTD2","Ad\eye\Kidney\lung\prostate\skin\Spleen\Stomach\thymus\tongue\Ub"
"P09848","LPH_HUMAN","Lactase/phlorizin hydrolase","Other TMPs","LCT",""
"P09912","IFI6_HUMAN","Interferon alpha-inducible protein 6","Other TMPs","IFI6",""
"P09958","FURIN_HUMAN","Furin","Other TMPs","FURIN","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P0C2L3","F163B_HUMAN","Protein FAM163B","Other TMPs","FAM163B","brain"
"P0C6S8","LIGO3_HUMAN","Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3","Other TMPs","LINGO3","Ad\brain\eye\heart"
"P0C6T2","OST4_HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4","Other TMPs","OST4",""
"P0C7M8","CLC2L_HUMAN","C-type lectin domain family 2 member L","Other TMPs","CLEC2L","Ad\BAT\brain\eye\GAT\heart\Muscle\prostate\SCAT\skin\Spleen\testis\tongue"
"P0C7U0","ELFN1_HUMAN","Protein ELFN1","Other TMPs","ELFN1","brain\eye\Kidney\lung"
"P0C851","PIRT_HUMAN","Phosphoinositide-interacting protein","Other TMPs","PIRT","Ad\BAT\brain\heart\MAT\prostate\SCAT\skin\SmallIntestine\Stomach\Ub"
"P0C874","S31D3_HUMAN","Spermatogenesis-associated protein 31D3","Other TMPs","SPATA31D3",""
"P0CF51","TRGC1_HUMAN","T cell receptor gamma constant 1","Other TMPs","TRGC1",""
"P0CG08","GPHRB_HUMAN","Golgi pH regulator B","Ion-channels","GPR89B",""
"P0CG41","CTGE8_HUMAN","cTAGE family member 8","Other TMPs","CTAGE8",""
"P0CK96","S352B_HUMAN","Solute carrier family 35 member E2B","Other TMPs","SLC35E2B",""
"P0CK97","S35E2_HUMAN","Solute carrier family 35 member E2A","Other TMPs","SLC35E2A",""
"P0DJ07","PT100_HUMAN","Protein PET100 homolog, mitochondrial","Other TMPs","PET100","Ad\BAT\eye\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"P0DKB5","TPBGL_HUMAN","Trophoblast glycoprotein-like","Other TMPs","TPBGL","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P0DMS8","AA3R_HUMAN","Adenosine receptor A3","GPCR","ADORA3",""
"P0DN84","DWORF_HUMAN","Sarcoplasmic/endoplasmic reticulum calcium ATPase regulator DWORF","Other TMPs","STRIT1",""
"P0DP42","T225B_HUMAN","Transmembrane protein 225B","Other TMPs","TMEM225B",""
"P0DPA2","VSIG8_HUMAN","V-set and immunoglobulin domain-containing protein 8","Other TMPs","VSIG8","skin\Stomach\thymus\tongue"
"P0DPD6","ECE2_HUMAN","Endothelin-converting enzyme 2","Other TMPs","ECE2","Ad\BAT\brain\eye\heart\MAT\Pancreas\prostate\SCAT\skin\Stomach\tongue\Ub"
"P0DTE4","UD2A1_HUMAN","UDP-glucuronosyltransferase 2A1","Other TMPs","UGT2A1","BAT\brain\eye\GAT\liver\lung\MAT\SCAT\skin\tongue"
"P0DTE5","UD2A2_HUMAN","UDP-glucuronosyltransferase 2A2","Other TMPs","UGT2A2","brain\eye\GAT"
"P10176","COX8A_HUMAN","Cytochrome c oxidase subunit 8A, mitochondrial","Other TMPs","COX8A","BAT\brain\eye\Stomach"
"P10321","HLAC_HUMAN","HLA class I histocompatibility antigen, C alpha chain","Other TMPs","HLA-C",""
"P10415","BCL2_HUMAN","Apoptosis regulator Bcl-2","Other TMPs","BCL2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P10586","PTPRF_HUMAN","Receptor-type tyrosine-protein phosphatase F","Catalytic receptors","PTPRF","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P10620","MGST1_HUMAN","Microsomal glutathione S-transferase 1","Other TMPs","MGST1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P10721","KIT_HUMAN","Mast/stem cell growth factor receptor Kit","Catalytic receptors","KIT","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P10747","CD28_HUMAN","T-cell-specific surface glycoprotein CD28","Other TMPs","CD28","lung\MAT\SCAT\SmallIntestine\Spleen\thymus"
"P10912","GHR_HUMAN","Growth hormone receptor","Catalytic receptors","GHR","Ad\BAT\brain\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"P10966","CD8B_HUMAN","T-cell surface glycoprotein CD8 beta chain","Other TMPs","CD8B",""
"P11049","CD37_HUMAN","Leukocyte antigen CD37","Other TMPs","CD37","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P11117","PPAL_HUMAN","Lysosomal acid phosphatase","Other TMPs","ACP2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P11166","GTR1_HUMAN","Solute carrier family 2, facilitated glucose transporter member 1","Transporter","SLC2A1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P11168","GTR2_HUMAN","Solute carrier family 2, facilitated glucose transporter member 2","Transporter","SLC2A2","Ad\Kidney\liver\MAT\Pancreas\SCAT\SmallIntestine\Spleen"
"P11169","GTR3_HUMAN","Solute carrier family 2, facilitated glucose transporter member 3","Other TMPs","SLC2A3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P11215","ITAM_HUMAN","Integrin alpha-M","Catalytic receptors","ITGAM",""
"P11229","ACM1_HUMAN","Muscarinic acetylcholine receptor M1","GPCR","CHRM1","Ad\brain\eye\Pancreas\prostate\SmallIntestine\Stomach\Ub"
"P11230","ACHB_HUMAN","Acetylcholine receptor subunit beta","Ion-channels","CHRNB1","lung\Muscle\skin\SmallIntestine\tongue"
"P11279","LAMP1_HUMAN","Lysosome-associated membrane glycoprotein 1","Other TMPs","LAMP1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P11362","FGFR1_HUMAN","Fibroblast growth factor receptor 1","Catalytic receptors","FGFR1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P11511","CP19A_HUMAN","Aromatase","Other TMPs","CYP19A1",""
"P11717","MPRI_HUMAN","Cation-independent mannose-6-phosphate receptor","Transporter","IGF2R","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P11836","CD20_HUMAN","B-lymphocyte antigen CD20","Other TMPs","MS4A1","Ad\BAT\eye\GAT\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\thymus"
"P11912","CD79A_HUMAN","B-cell antigen receptor complex-associated protein alpha chain","Other TMPs","CD79A","GAT\lung\MAT\Pancreas\SCAT\SmallIntestine\Spleen\thymus"
"P12074","CX6A1_HUMAN","Cytochrome c oxidase subunit 6A1, mitochondrial","Other TMPs","COX6A1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P12235","ADT1_HUMAN","ADP/ATP translocase 1","Transporter","SLC25A4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P12236","ADT3_HUMAN","ADP/ATP translocase 3","Other TMPs","SLC25A6",""
"P12314","FCGR1_HUMAN","High affinity immunoglobulin gamma Fc receptor I","Other TMPs","FCGR1A",""
"P12318","FCG2A_HUMAN","Low affinity immunoglobulin gamma Fc region receptor II-a","Other TMPs","FCGR2A",""
"P12319","FCERA_HUMAN","High affinity immunoglobulin epsilon receptor subunit alpha","Catalytic receptors","FCER1A",""
"P12821","ACE_HUMAN","Angiotensin-converting enzyme","Other TMPs","ACE","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P12830","CADH1_HUMAN","Cadherin-1","Other TMPs","CDH1",""
"P13073","COX41_HUMAN","Cytochrome c oxidase subunit 4 isoform 1, mitochondrial","Other TMPs","COX4I1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P13164","IFM1_HUMAN","Interferon-induced transmembrane protein 1","Other TMPs","IFITM1","Ad\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P13224","GP1BB_HUMAN","Platelet glycoprotein Ib beta chain","Other TMPs","GP1BB","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\Spleen\Stomach\testis\thymus\tongue\Ub"
"P13473","LAMP2_HUMAN","Lysosome-associated membrane glycoprotein 2","Other TMPs","LAMP2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P13569","CFTR_HUMAN","Cystic fibrosis transmembrane conductance regulator","Ion-channels","CFTR","GAT\Kidney\lung\SmallIntestine\Stomach\testis\thymus"
"P13591","NCAM1_HUMAN","Neural cell adhesion molecule 1","Other TMPs","NCAM1",""
"P13598","ICAM2_HUMAN","Intercellular adhesion molecule 2","Other TMPs","ICAM2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P13612","ITA4_HUMAN","Integrin alpha-4","Catalytic receptors","ITGA4",""
"P13637","AT1A3_HUMAN","Sodium/potassium-transporting ATPase subunit alpha-3/K ATPase alpha-3 subunit/K ATPase alpha subunit","Transporter","ATP1A3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P13688","CEAM1_HUMAN","Cell adhesion molecule CEACAM1","Other TMPs","CEACAM1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P13726","TF_HUMAN","Tissue factor","Other TMPs","F3",""
"P13747","HLAE_HUMAN","HLA class I histocompatibility antigen, alpha chain E","Other TMPs","HLA-E",""
"P13762","DRB4_HUMAN","HLA class II histocompatibility antigen, DR beta 4 chain","Other TMPs","HLA-DRB4",""
"P13765","DOB_HUMAN","HLA class II histocompatibility antigen, DO beta chain","Other TMPs","HLA-DOB",""
"P13866","SC5A1_HUMAN","Sodium/glucose cotransporter 1/glucose cotransporter 1","Other TMPs","SLC5A1",""
"P13945","ADRB3_HUMAN","Beta-3 adrenergic receptor","GPCR","ADRB3","Ad\BAT\GAT\Kidney\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\Ub"
"P14060","3BHS1_HUMAN","3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1-steroid dehydrogenase","Other TMPs","HSD3B1","Ad\BAT\eye\GAT\heart\Kidney\liver\MAT\SCAT\skin\SmallIntestine\Spleen\testis\thymus\tongue\Ub"
"P14151","LYAM1_HUMAN","L-selectin","Other TMPs","SELL","lung\MAT\SCAT\Spleen\thymus"
"P14209","CD99_HUMAN","CD99 antigen","Other TMPs","CD99",""
"P14222","PERF_HUMAN","Perforin-1","Other TMPs","PRF1","lung\skin\Spleen"
"P14406","CX7A2_HUMAN","Cytochrome c oxidase subunit 7A2, mitochondrial","Other TMPs","COX7A2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P14410","SUIS_HUMAN","Sucrase-isomaltase, intestinal","Other TMPs","SI",""
"P14415","AT1B2_HUMAN","Sodium/potassium-transporting ATPase subunit beta-2","Transporter","ATP1B2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P14416","DRD2_HUMAN","D dopamine receptor","GPCR","DRD2","brain"
"P14616","INSRR_HUMAN","Insulin receptor-related protein","Catalytic receptors","INSRR","Kidney\Pancreas\Stomach"
"P14672","GLUT4_HUMAN","Solute carrier family 2, facilitated glucose transporter member 4","Transporter","SLC2A4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P14679","TYRO_HUMAN","Tyrosinase","Other TMPs","TYR","eye\skin"
"P14770","GPIX_HUMAN","Platelet glycoprotein IX","Other TMPs","GP9","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\prostate\SCAT\skin\Spleen\Stomach\thymus\tongue\Ub"
"P14778","IL1R1_HUMAN","Interleukin-1 receptor type 1","Catalytic receptors","IL1R1","Ad\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"P14784","IL2RB_HUMAN","Interleukin-2 receptor subunit beta","Catalytic receptors","IL2RB","lung\MAT\SCAT\skin\SmallIntestine\Spleen\thymus"
"P14867","GBRA1_HUMAN","Gamma-aminobutyric acid receptor subunit alpha-1 receptor subunit alpha-1","Ion-channels","GABRA1","brain\eye\Spleen"
"P15144","AMPN_HUMAN","Aminopeptidase N","Other TMPs","ANPEP","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P15151","PVR_HUMAN","Poliovirus receptor","Other TMPs","PVR",""
"P15260","INGR1_HUMAN","Interferon gamma receptor 1","Catalytic receptors","IFNGR1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P15291","B4GT1_HUMAN","Beta-1,4-galactosyltransferase 1","Other TMPs","B4GALT1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P15382","KCNE1_HUMAN","Potassium voltage-gated channel subfamily E member 1","Ion-channels","KCNE1",""
"P15391","CD19_HUMAN","B-lymphocyte antigen CD19","Other TMPs","CD19","lung\MAT\Muscle\Pancreas\SCAT\SmallIntestine\Spleen\thymus"
"P15509","CSF2R_HUMAN","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","Catalytic receptors","CSF2RA","Ad\BAT\GAT\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"P15514","AREG_HUMAN","Amphiregulin","Other TMPs","AREG","SmallIntestine\Stomach"
"P15529","MCP_HUMAN","Membrane cofactor protein","Other TMPs","CD46","prostate\testis"
"P15812","CD1E_HUMAN","T-cell surface glycoprotein CD1e, membrane-associated","Other TMPs","CD1E",""
"P15813","CD1D_HUMAN","Antigen-presenting glycoprotein CD1d","Other TMPs","CD1D",""
"P15907","SIAT1_HUMAN","Beta-galactoside alpha-2,6-sialyltransferase 1","Other TMPs","ST6GAL1","Ad\BAT\eye\GAT\liver\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"P15941","MUC1_HUMAN","Mucin-1","Other TMPs","MUC1",""
"P15954","COX7C_HUMAN","Cytochrome c oxidase subunit 7C, mitochondrial","Other TMPs","COX7C","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P16066","ANPRA_HUMAN","Atrial natriuretic peptide receptor 1","Catalytic receptors","NPR1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P16070","CD44_HUMAN","CD44 antigen","Other TMPs","CD44",""
"P16109","LYAM3_HUMAN","P-selectin","Other TMPs","SELP","BAT\GAT\lung\MAT\SCAT\skin\Spleen"
"P16144","ITB4_HUMAN","Integrin beta-4","Catalytic receptors","ITGB4","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P16150","LEUK_HUMAN","Leukosialin","Other TMPs","SPN","Ad\BAT\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P16234","PGFRA_HUMAN","Platelet-derived growth factor receptor alpha","Catalytic receptors","PDGFRA","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P16260","GDC_HUMAN","Solute carrier family 25 member 16","Transporter","SLC25A16","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P16284","PECA1_HUMAN","Platelet endothelial cell adhesion molecule","Other TMPs","PECAM1","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P16389","KCNA2_HUMAN","Potassium voltage-gated channel subfamily A member 2 channel HuKIV","Ion-channels","KCNA2","Ad\BAT\brain\eye\lung\MAT\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"P16410","CTLA4_HUMAN","Cytotoxic T-lymphocyte protein 4","Other TMPs","CTLA4",""
"P16422","EPCAM_HUMAN","Epithelial cell adhesion molecule","Other TMPs","EPCAM","Ad\brain\eye\GAT\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P16435","NCPR_HUMAN","NADPH--cytochrome P450 reductase","Other TMPs","POR","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P16442","BGAT_HUMAN","Histo-blood group ABO system transferase","Other TMPs","ABO","prostate\Stomach\Ub"
"P16471","PRLR_HUMAN","Prolactin receptor","Catalytic receptors","PRLR","Ad\GAT\liver\prostate\skin\SmallIntestine\testis\Ub"
"P16473","TSHR_HUMAN","Thyrotropin receptor","GPCR","TSHR","Ad\BAT\eye\GAT\MAT\SCAT\skin"
"P16581","LYAM2_HUMAN","E-selectin","Other TMPs","SELE","Ub"
"P16615","AT2A2_HUMAN","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2-ATPase 2 ATPase","Transporter","ATP2A2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P16662","UD2B7_HUMAN","UDP-glucuronosyltransferase 2B7","Other TMPs","UGT2B7",""
"P16671","CD36_HUMAN","Platelet glycoprotein 4","Transporter","CD36","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P16871","IL7RA_HUMAN","Interleukin-7 receptor subunit alpha","Catalytic receptors","IL7R","lung\MAT\SCAT\skin\Spleen\thymus"
"P17152","TMM11_HUMAN","Transmembrane protein 11, mitochondrial","Other TMPs","TMEM11","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P17181","INAR1_HUMAN","Interferon alpha/beta receptor 1","Catalytic receptors","IFNAR1","Ad\BAT\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"P17301","ITA2_HUMAN","Integrin alpha-2","Catalytic receptors","ITGA2","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P17302","CXA1_HUMAN","Gap junction alpha-1 protein","Other TMPs","GJA1","Ad\BAT\brain\eye\GAT\heart\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P17342","ANPRC_HUMAN","Atrial natriuretic peptide receptor 3","Catalytic receptors","NPR3","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P17643","TYRP1_HUMAN","5,6-dihydroxyindole-2-carboxylic acid oxidase","Other TMPs","TYRP1","eye\skin"
"P17658","KCNA6_HUMAN","Potassium voltage-gated channel subfamily A member 6","Ion-channels","KCNA6","brain\eye\SCAT\SmallIntestine\Spleen\Stomach\thymus"
"P17693","HLAG_HUMAN","HLA class I histocompatibility antigen, alpha chain G","Other TMPs","HLA-G",""
"P17787","ACHB2_HUMAN","Neuronal acetylcholine receptor subunit beta-2","Ion-channels","CHRNB2","brain\eye"
"P17813","EGLN_HUMAN","Endoglin","Other TMPs","ENG","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"P17861","XBP1_HUMAN","X-box-binding protein 1","Other TMPs","XBP1",""
"P17927","CR1_HUMAN","Complement receptor type 1","Other TMPs","CR1",""
"P17948","VGFR1_HUMAN","Vascular endothelial growth factor receptor 1","Catalytic receptors","FLT1",""
"P18084","ITB5_HUMAN","Integrin beta-5","Catalytic receptors","ITGB5",""
"P18089","ADA2B_HUMAN","Alpha-2B adrenergic receptor","GPCR","ADRA2B","brain\Kidney\liver\SmallIntestine\Spleen"
