"protein","entry_name","description","family","gene_symbol","expression_tissue"
"Q9HBY0","NOX3_HUMAN","NADPH oxidase 3","Other TMPs","NOX3","GAT\Pancreas\testis\tongue"
"Q9HC07","TM165_HUMAN","Putative divalent cation/proton antiporter TMEM165","Other TMPs","TMEM165","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HC21","TPC_HUMAN","Mitochondrial thiamine pyrophosphate carrier","Transporter","SLC25A19","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HC24","LFG4_HUMAN","Protein lifeguard 4","Other TMPs","TMBIM4","BAT\Kidney\prostate\SmallIntestine\Spleen\Stomach\testis\Ub"
"Q9HC47","CTGE1_HUMAN","Cutaneous T-cell lymphoma-associated antigen 1","Other TMPs","CTAGE1",""
"Q9HC56","PCDH9_HUMAN","Protocadherin-9","Other TMPs","PCDH9",""
"Q9HC58","NCKX3_HUMAN","Sodium/potassium/calcium exchanger 3/K/Ca-exchange protein 3","Transporter","SLC24A3","Ad\BAT\brain\eye\GAT\lung\MAT\Pancreas\prostate\SCAT\SmallIntestine\Spleen\Stomach\testis\thymus\Ub"
"Q9HC73","CRLF2_HUMAN","Cytokine receptor-like factor 2","Catalytic receptors","CRLF2",""
"Q9HC97","GPR35_HUMAN","G-protein coupled receptor 35","GPCR","GPR35","MAT\SCAT\Spleen\thymus"
"Q9HCC8","GDPD2_HUMAN","Glycerophosphoinositol inositolphosphodiesterase GDPD2","Other TMPs","GDPD2","Ad\brain\eye\GAT\Kidney\lung\MAT\prostate\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HCE9","ANO8_HUMAN","Anoctamin-8","Other TMPs","ANO8","Ad\BAT\brain\eye\GAT\heart\Kidney\liver\lung\MAT\Muscle\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\testis\thymus\tongue\Ub"
"Q9HCF6","TRPM3_HUMAN","Transient receptor potential cation channel subfamily M member 3","Ion-channels","TRPM3",""
"Q9HCJ1","ANKH_HUMAN","Mineralization regulator ANKH","Transporter","ANKH",""
"Q9HCJ2","LRC4C_HUMAN","Leucine-rich repeat-containing protein 4C","Other TMPs","LRRC4C","Ad\brain\eye\GAT\MAT\SCAT\Spleen\thymus"
"Q9HCK4","ROBO2_HUMAN","Roundabout homolog 2","Other TMPs","ROBO2","Ad\brain\eye\GAT\Kidney\liver\lung\MAT\Pancreas\prostate\SCAT\skin\SmallIntestine\Spleen\Stomach\thymus\tongue\Ub"
"Q9HCL0","PCD18_HUMAN","Protocadherin-18","Other TMPs","PCDH18","Ad\brain\eye\GAT\Kidney\lung\MAT\prostate\SCAT\Spleen\Stomach\thymus\tongue\Ub"
