"protein","entry_name","description","family","gene_symbol","expression_tissue"
"P48549","KCNJ3_HUMAN","G protein-activated inward rectifier potassium channel 1 (GIRK-1) (Inward rectifier K(+) channel Kir3.1) (Potassium channel, inwardly rectifying subfamily J member 3)","Ion channel","KCNJ3","BRN/EYE/HRT/LUN/THM"
"P48050","KCNJ4_HUMAN","Inward rectifier potassium channel 4 (HIRK2) (HRK1) (Hippocampal inward rectifier) (HIR) (Inward rectifier K(+) channel Kir2.3) (IRK-3) (Potassium channel, inwardly rectifying subfamily J member 4)","Ion channel","KCNJ4","BRN/PCR/SIT"
"P48544","KCNJ5_HUMAN","G protein-activated inward rectifier potassium channel 4 (GIRK-4) (Cardiac inward rectifier) (CIR) (Heart KATP channel) (Inward rectifier K(+) channel Kir3.4) (IRK-4) (KATP-1) (Potassium channel, inwardly rectifying subfamily J member 5)","Ion channel","KCNJ5","AD/BRN/EYE/HRT/KID/LUN/SPL/THM"
"P48051","KCNJ6_HUMAN","G protein-activated inward rectifier potassium channel 2 (GIRK-2) (BIR1) (Inward rectifier K(+) channel Kir3.2) (KATP-2) (Potassium channel, inwardly rectifying subfamily J member 6)","Ion channel","KCNJ6","AD/BRN/EYE/TES"
"Q15842","KCNJ8_HUMAN","ATP-sensitive inward rectifier potassium channel 8 (Inward rectifier K(+) channel Kir6.1) (Potassium channel, inwardly rectifying subfamily J member 8) (uKATP-1)","Ion channel","KCNJ8","AD/BAT/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/TON/UB"
"Q92806","KCNJ9_HUMAN","G protein-activated inward rectifier potassium channel 3 (GIRK-3) (Inward rectifier K(+) channel Kir3.3) (Potassium channel, inwardly rectifying subfamily J member 9)","Ion channel","KCNJ9","BRN/EYE/SPL"
"O00180","KCNK1_HUMAN","Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1)","Ion channel","KCNK1","AD/BRN/EYE/GAT/KID/LIV/LUN/MAT/PCR/PRS/SKN/SIT/SPL/STM/TES/THM/UB"
"P57789","KCNKA_HUMAN","Potassium channel subfamily K member 10 (Outward rectifying potassium channel protein TREK-2) (TREK-2 K(+) channel subunit)","Ion channel","KCNK10",""
"Q9HB14","KCNKD_HUMAN","Potassium channel subfamily K member 13 (Tandem pore domain halothane-inhibited potassium channel 1) (THIK-1)","Ion channel","KCNK13","BRN/EYE/GAT/LUN/MAT/SCAT/SKN/SPL/STM/TES/THM"
"Q96T55","KCNKG_HUMAN","Potassium channel subfamily K member 16 (2P domain potassium channel Talk-1) (TWIK-related alkaline pH-activated K(+) channel 1) (TALK-1)","Ion channel","KCNK16",""
"Q96T54","KCNKH_HUMAN","Potassium channel subfamily K member 17 (2P domain potassium channel Talk-2) (Acid-sensitive potassium channel protein TASK-4) (TWIK-related acid-sensitive K(+) channel 4) (TWIK-related alkaline pH-activated K(+) channel 2) (TALK-2)","Ion channel","KCNK17",""
"Q7Z418","KCNKI_HUMAN","Potassium channel subfamily K member 18 (TWIK-related individual potassium channel) (TWIK-related spinal cord potassium channel)","Ion channel","KCNK18",""
"O95069","KCNK2_HUMAN","Potassium channel subfamily K member 2 (Outward rectifying potassium channel protein TREK-1) (TREK-1 K(+) channel subunit) (Two pore domain potassium channel TREK1) (Two pore potassium channel TPKC1) (K2P2.1)","Ion channel","KCNK2","BRN/LUN/THM"
"O14649","KCNK3_HUMAN","Potassium channel subfamily K member 3 (Acid-sensitive potassium channel protein TASK-1) (TWIK-related acid-sensitive K(+) channel 1) (Two pore potassium channel KT3.1) (Two pore K(+) channel KT3.1)","Ion channel","KCNK3","AD/BAT/BRN/EYE/HRT/LUN/PRS/SCAT/THM/UB"
"Q9NYG8","KCNK4_HUMAN","Potassium channel subfamily K member 4 (TWIK-related arachidonic acid-stimulated potassium channel protein) (TRAAK) (Two pore potassium channel KT4.1) (K2P4.1) (Two pore K(+) channel KT4.1)","Ion channel","KCNK4","BRN"
"O95279","KCNK5_HUMAN","Potassium channel subfamily K member 5 (Acid-sensitive potassium channel protein TASK-2) (TWIK-related acid-sensitive K(+) channel 2)","Ion channel","KCNK5",""
"Q9Y2U2","KCNK7_HUMAN","Potassium channel subfamily K member 7","Ion channel","KCNK7","SKN"
"Q9NPC2","KCNK9_HUMAN","Potassium channel subfamily K member 9 (Acid-sensitive potassium channel protein TASK-3) (TWIK-related acid-sensitive K(+) channel 3) (Two pore potassium channel KT3.2) (Two pore K(+) channel KT3.2)","Ion channel","KCNK9","AD/BRN/SPL"
"Q12791","KCMA1_HUMAN","Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (hSlo)","Ion channel","KCNMA1","AD/BAT/BRN/EYE/KID/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q16558","KCMB1_HUMAN","Calcium-activated potassium channel subunit beta-1 (BK channel subunit beta-1) (BKbeta) (BKbeta1) (Hbeta1) (Calcium-activated potassium channel, subfamily M subunit beta-1) (Calcium-activated potassium channel subunit beta) (Charybdotoxin receptor subunit beta-1) (K(VCA)beta-1) (Maxi K channel subunit beta-1) (Slo-beta-1) (Slo-beta)","Ion channel","KCNMB1","MAT/PRS/SIT/STM/UB"
"Q9Y691","KCMB2_HUMAN","Calcium-activated potassium channel subunit beta-2 (BK channel subunit beta-2) (BKbeta2) (Hbeta2) (Calcium-activated potassium channel, subfamily M subunit beta-2) (Charybdotoxin receptor subunit beta-2) (Hbeta3) (K(VCA)beta-2) (Maxi K channel subunit beta-2) (Slo-beta-2)","Ion channel","KCNMB2","AD"
"Q9NPA1","KCMB3_HUMAN","Calcium-activated potassium channel subunit beta-3 (BK channel subunit beta-3) (BKbeta3) (Hbeta3) (Calcium-activated potassium channel, subfamily M subunit beta-3) (Charybdotoxin receptor subunit beta-3) (K(VCA)beta-3) (Maxi K channel subunit beta-3) (Slo-beta-3)","Ion channel","KCNMB3",""
"Q86W47","KCMB4_HUMAN","Calcium-activated potassium channel subunit beta-4 (BK channel subunit beta-4) (BKbeta4) (Hbeta4) (Calcium-activated potassium channel, subfamily M subunit beta-4) (Charybdotoxin receptor subunit beta-4) (K(VCA)beta-4) (Maxi K channel subunit beta-4) (Slo-beta-4)","Ion channel","KCNMB4","BRN/TES"
"Q92952","KCNN1_HUMAN","Small conductance calcium-activated potassium channel protein 1 (SK1) (SKCa 1) (SKCa1) (hSK1) (KCa2.1)","Ion channel","KCNN1",""
"Q9H2S1","KCNN2_HUMAN","Small conductance calcium-activated potassium channel protein 2 (SK2) (SKCa 2) (SKCa2) (KCa2.2)","Ion channel","KCNN2","AD/BRN/EYE/LIV"
"Q9UGI6","KCNN3_HUMAN","Small conductance calcium-activated potassium channel protein 3 (SK3) (SKCa 3) (SKCa3) (KCa2.3)","Ion channel","KCNN3","AD/BRN/EYE/GAT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SIT/SPL/STM/THM/UB"
"O15554","KCNN4_HUMAN","Intermediate conductance calcium-activated potassium channel protein 4 (SKCa 4) (SKCa4) (hSK4) (Gardos channel) (IKCa1) (hIK1) (KCa3.1) (Putative Gardos channel) (hKCa4)","Ion channel","KCNN4","GAT/MAT/PRS/SCAT/SIT/SPL/STM/THM/UB"
"P51787","KCNQ1_HUMAN","Potassium voltage-gated channel subfamily KQT member 1 (IKs producing slow voltage-gated potassium channel subunit alpha KvLQT1) (KQT-like 1) (Voltage-gated potassium channel subunit Kv7.1)","Ion channel","KCNQ1","AD/BRN/EYE/GAT/HRT/KID/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/TON"
"O43526","KCNQ2_HUMAN","Potassium voltage-gated channel subfamily KQT member 2 (KQT-like 2) (Neuroblastoma-specific potassium channel subunit alpha KvLQT2) (Voltage-gated potassium channel subunit Kv7.2)","Ion channel","KCNQ2","BRN/EYE/STM"
"O43525","KCNQ3_HUMAN","Potassium voltage-gated channel subfamily KQT member 3 (KQT-like 3) (Potassium channel subunit alpha KvLQT3) (Voltage-gated potassium channel subunit Kv7.3)","Ion channel","KCNQ3","BRN"
"P56696","KCNQ4_HUMAN","Potassium voltage-gated channel subfamily KQT member 4 (KQT-like 4) (Potassium channel subunit alpha KvLQT4) (Voltage-gated potassium channel subunit Kv7.4)","Ion channel","KCNQ4","BRN/EYE/SPL"
"Q9NR82","KCNQ5_HUMAN","Potassium voltage-gated channel subfamily KQT member 5 (KQT-like 5) (Potassium channel subunit alpha KvLQT5) (Voltage-gated potassium channel subunit Kv7.5)","Ion channel","KCNQ5","BRN/EYE/LUN/PCR/SPL/THM/TON"
"Q9ULS6","KCNS2_HUMAN","Delayed-rectifier potassium channel regulatory subunit KCNS2 (Delayed-rectifier K(+) channel alpha subunit 2) (Delayed-rectifier potassium channel subunit Kv9.2) (Potassium voltage-gated channel subfamily S member 2)","Ion channel","KCNS2","BRN"
"Q9BQ31","KCNS3_HUMAN","Delayed-rectifier potassium channel regulatory subunit KCNS3 (Delayed-rectifier K(+) channel alpha subunit 3) (Delayed-rectifier potassium channel subunit Kv9.3) (Kv9.3) (Potassium voltage-gated channel subfamily S member 3)","Ion channel","KCNS3",""
"Q5JUK3","KCNT1_HUMAN","Potassium channel subfamily T member 1 (KCa4.1) (KNa1.1) (Sodium and chloride-activated ATP-sensitive potassium channel Slo2.2)","Ion channel","KCNT1","AD/BRN/EYE/KID/SKN/TES"
"Q6UVM3","KCNT2_HUMAN","Potassium channel subfamily T member 2 (KNa1.2) (Sequence like an intermediate conductance potassium channel subunit) (Sodium and chloride-activated ATP-sensitive potassium channel Slo2.1)","Ion channel","KCNT2",""
"A8MYU2","KCNU1_HUMAN","Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)","Ion channel","KCNU1","PRS/TES"
"Q6PIU1","KCNV1_HUMAN","Potassium voltage-gated channel subfamily V member 1 (Neuronal potassium channel alpha subunit HNKA) (Voltage-gated potassium channel subunit Kv8.1)","Ion channel","KCNV1","AD/BRN/EYE/STM/THM/TON"
"Q8TDN2","KCNV2_HUMAN","Potassium voltage-gated channel subfamily V member 2 (Voltage-gated potassium channel subunit Kv8.2)","Ion channel","KCNV2","AD/BAT/BRN/EYE/HRT/KID/LUN/MAT/SKN/SIT/STM/TON/UB"
"Q2I0M4","LRC26_HUMAN","Leucine-rich repeat-containing protein 26 (BK channel auxiliary gamma subunit LRRC26) (Cytokeratin-associated protein in cancer)","Ion channel","LRRC26","LUN/PCR/PRS/SIT/STM/UB"
"Q5VT99","LRC38_HUMAN","Leucine-rich repeat-containing protein 38 (BK channel auxiliary gamma subunit LRRC38)","Ion channel","LRRC38","BAT/BRN/EYE/SKM/PRS/SCAT/SKN/TES/TON"
"Q8N7C0","LRC52_HUMAN","Leucine-rich repeat-containing protein 52 (BK channel auxiliary gamma subunit LRRC52)","Ion channel","LRRC52",""
"Q6ZSA7","LRC55_HUMAN","Leucine-rich repeat-containing protein 55 (BK channel auxiliary gamma subunit LRRC55)","Ion channel","LRRC55","AD/BRN"
"Q8IWT6","LRC8A_HUMAN","Volume-regulated anion channel subunit LRRC8A (Leucine-rich repeat-containing protein 8A) (HsLRRC8A) (Swelling protein 1)","Ion channel","LRRC8A","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q6P9F7","LRC8B_HUMAN","Volume-regulated anion channel subunit LRRC8B (Leucine-rich repeat-containing protein 8B) (T-cell activation leucine repeat-rich protein) (TA-LRRP)","Ion channel","LRRC8B","AD/BAT/BRN/EYE/GAT/KID/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q8TDW0","LRC8C_HUMAN","Volume-regulated anion channel subunit LRRC8C (Factor for adipocyte differentiation 158) (Leucine-rich repeat-containing protein 8C)","Ion channel","LRRC8C","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q7L1W4","LRC8D_HUMAN","Volume-regulated anion channel subunit LRRC8D (Leucine-rich repeat-containing protein 5) (Leucine-rich repeat-containing protein 8D) (HsLRRC8D)","Ion channel","LRRC8D","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q6NSJ5","LRC8E_HUMAN","Volume-regulated anion channel subunit LRRC8E (Leucine-rich repeat-containing protein 8E)","Ion channel","LRRC8E","AD/EYE/KID/LUN/PCR/PRS/SCAT/SKN/SIT/STM/TES/THM/TON/UB"
"Q9GZU1","MCLN1_HUMAN","Mucolipin-1 (ML1) (MG-2) (Mucolipidin) (Transient receptor potential channel mucolipin 1) (TRPML1)","Ion channel","MCOLN1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8IZK6","MCLN2_HUMAN","Mucolipin-2 (Transient receptor potential channel mucolipin 2) (TRPML2)","Ion channel","MCOLN2","AD/LUN/MAT/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q8TDD5","MCLN3_HUMAN","Mucolipin-3 (Transient receptor potential channel mucolipin 3) (TRPML3)","Ion channel","MCOLN3","EYE/KID/LUN/MAT/SCAT/SPL/TES/THM/UB"
"Q8NE86","MCU_HUMAN","Calcium uniporter protein, mitochondrial (HsMCU) (Coiled-coil domain-containing protein 109A)","Ion channel","MCU","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q15049","MLC1_HUMAN","Membrane protein MLC1 (Megalencephalic leukoencephalopathy with subcortical cysts protein 1)","Ion channel","MLC1","BRN/EYE/LUN/MAT/SCAT/SPL/STM/TES/THM"
"Q8IZF0","NALCN_HUMAN","Sodium leak channel NALCN (CanIon) (Sodium leak channel non-selective protein) (Voltage gated channel-like protein 1)","Ion channel","NALCN","AD/BRN/EYE/TES"
"Q9Y5S8","NOX1_HUMAN","NADPH oxidase 1 (NOX-1) (EC 1.6.3.-) (Mitogenic oxidase 1) (MOX-1) (NADH/NADPH mitogenic oxidase subunit P65-MOX) (NOH-1)","Ion channel","NOX1","LUN/SIT/SPL/THM"
"Q96PH1","NOX5_HUMAN","NADPH oxidase 5 (EC 1.-.-.-) (EC 1.6.3.-)","Ion channel","NOX5",""
"Q96D31","ORAI1_HUMAN","Calcium release-activated calcium channel protein 1 (Protein orai-1) (Transmembrane protein 142A)","Ion channel","ORAI1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q7RTM1","OTOP1_HUMAN","Proton channel OTOP1 (Otopetrin-1) (hOtop1)","Ion channel","OTOP1","AD/BAT/SCAT/THM"
"Q7RTS6","OTOP2_HUMAN","Proton channel OTOP2 (Otopetrin-2)","Ion channel","OTOP2","BRN"
"Q7RTS5","OTOP3_HUMAN","Proton channel OTOP3 (Otopetrin-3)","Ion channel","OTOP3","SKN/SIT/SPL/STM"
"P51575","P2RX1_HUMAN","P2X purinoceptor 1 (P2X1) (ATP receptor) (Purinergic receptor)","Ion channel","P2RX1","AD/BAT/GAT/HRT/KID/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9UBL9","P2RX2_HUMAN","P2X purinoceptor 2 (P2X2) (ATP receptor) (Purinergic receptor)","Ion channel","P2RX2","PRS/SCAT/SKN/SIT/SPL/STM/TES/UB"
"P56373","P2RX3_HUMAN","P2X purinoceptor 3 (P2X3) (ATP receptor) (Purinergic receptor)","Ion channel","P2RX3","SKN"
"Q99571","P2RX4_HUMAN","P2X purinoceptor 4 (P2X4) (ATP receptor) (Purinergic receptor)","Ion channel","P2RX4","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q93086","P2RX5_HUMAN","P2X purinoceptor 5 (P2X5) (ATP receptor) (Purinergic receptor)","Ion channel","P2RX5",""
"O15547","P2RX6_HUMAN","P2X purinoceptor 6 (P2X6) (ATP receptor) (P2XM) (Purinergic receptor) (Purinergic receptor P2X-like 1)","Ion channel","P2RX6",""
"Q99572","P2RX7_HUMAN","P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor)","Ion channel","P2RX7","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9H813","PACC1_HUMAN","Proton-activated chloride channel (PAC) (hPAC) (Acid-sensitive outwardly-rectifying anion channel) (ASOR) (Proton-activated outwardly rectifying anion channel) (PAORAC) (Transmembrane protein 206) (hTMEM206)","Ion channel","PACC1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q96RD7","PANX1_HUMAN","Pannexin-1 (PANX1) [Cleaved into: Caspase-activated pannexin-1 (Caspase-activated PANX1)]","Ion channel","PANX1","AD/BAT/BRN/EYE/GAT/KID/LUN/MAT/SKM/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q96RD6","PANX2_HUMAN","Pannexin-2","Ion channel","PANX2","BRN/EYE"
"Q92508","PIEZ1_HUMAN","Piezo-type mechanosensitive ion channel component 1 (Membrane protein induced by beta-amyloid treatment) (Mib) (Protein FAM38A)","Ion channel","PIEZO1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9H5I5","PIEZ2_HUMAN","Piezo-type mechanosensitive ion channel component 2 (Protein FAM38B)","Ion channel","PIEZO2","AD/LIV/LUN/PRS/SKN/THM/UB"
"Q7Z442","PK1L2_HUMAN","Polycystin-1-like protein 2 (Polycystin-1L2) (PC1-like 2 protein) (Polycystic kidney disease protein 1-like 2)","Ion channel","PKD1L2",""
"Q7Z443","PK1L3_HUMAN","Polycystin-1-like protein 3 (Polycystin-1L3) (PC1-like 3 protein) (Polycystic kidney disease protein 1-like 3)","Ion channel","PKD1L3",""
"Q13563","PKD2_HUMAN","Polycystin-2 (PC2) (Autosomal dominant polycystic kidney disease type II protein) (Polycystic kidney disease 2 protein) (Polycystwin) (R48321) (Transient receptor potential cation channel subfamily P member 2)","Ion channel","PKD2","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q9P0L9","PK2L1_HUMAN","Polycystin-2-like protein 1 (Polycystin-2L1) (Polycystic kidney disease 2-like 1 protein) (Polycystin-2 homolog) (Polycystin-L) (Polycystin-L1)","Ion channel","PKD2L1",""
"Q9NZM6","PK2L2_HUMAN","Polycystin-2-like protein 2 (Polycystin-2L2) (Polycystic kidney disease 2-like 2 protein) (Polycystin-L2)","Ion channel","PKD2L2","TES"
"Q9NTG1","PKDRE_HUMAN","Polycystin family receptor for egg jelly (PKD and REJ homolog) (Polycystic kidney disease and receptor for egg jelly-related protein)","Ion channel","PKDREJ","BAT/BRN/GAT/KID/LIV/LUN/SCAT/SKN/SIT/SPL/STM/TES"
"Q9Y342","PLLP_HUMAN","Plasmolipin (Plasma membrane proteolipid)","Ion channel","PLLP","AD/BAT/BRN/EYE/GAT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/STM/THM/TON/UB"
"P21817","RYR1_HUMAN","Ryanodine receptor 1 (RYR-1) (RyR1) (Skeletal muscle calcium release channel) (Skeletal muscle ryanodine receptor) (Skeletal muscle-type ryanodine receptor) (Type 1 ryanodine receptor)","Ion channel","RYR1","AD/BAT/BRN/EYE/GAT/HRT/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q92736","RYR2_HUMAN","Ryanodine receptor 2 (RYR-2) (RyR2) (hRYR-2) (Cardiac muscle ryanodine receptor) (Cardiac muscle ryanodine receptor-calcium release channel) (Type 2 ryanodine receptor)","Ion channel","RYR2","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/UB"
"Q15413","RYR3_HUMAN","Ryanodine receptor 3 (RYR-3) (RyR3) (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodine receptor)","Ion channel","RYR3","BAT/BRN/EYE/HRT/KID/LUN/MAT/SKM/PCR/PRS/SKN/SPL/TON/UB"
"P35498","SCN1A_HUMAN","Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1)","Ion channel","SCN1A","BRN/EYE/SKN/SPL"
"Q07699","SCN1B_HUMAN","Sodium channel regulatory subunit beta-1","Ion channel","SCN1B","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SPL/STM/THM/TON"
"Q99250","SCN2A_HUMAN","Sodium channel protein type 2 subunit alpha (HBSC II) (Sodium channel protein brain II subunit alpha) (Sodium channel protein type II subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.2)","Ion channel","SCN2A","AD/BRN/EYE/LUN/PRS/SCAT/SKN/SPL/STM/UB"
"O60939","SCN2B_HUMAN","Sodium channel regulatory subunit beta-2","Ion channel","SCN2B","AD/BAT/BRN/EYE/MAT/SKM/PRS/SKN/SIT/SPL/STM"
"Q9NY46","SCN3A_HUMAN","Sodium channel protein type 3 subunit alpha (Sodium channel protein brain III subunit alpha) (Sodium channel protein type III subunit alpha) (Voltage-gated sodium channel subtype III) (Voltage-gated sodium channel subunit alpha Nav1.3)","Ion channel","SCN3A","AD/BRN/EYE/LUN"
"Q9NY72","SCN3B_HUMAN","Sodium channel regulatory subunit beta-3","Ion channel","SCN3B","AD/BRN/EYE/GAT/HRT/LUN/MAT/PRS/SKN/SIT/STM/THM"
"P35499","SCN4A_HUMAN","Sodium channel protein type 4 subunit alpha (SkM1) (Sodium channel protein skeletal muscle subunit alpha) (Sodium channel protein type IV subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.4)","Ion channel","SCN4A","AD/BAT/BRN/EYE/GAT/HRT/KID/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/TON/UB"
"Q8IWT1","SCN4B_HUMAN","Sodium channel regulatory subunit beta-4","Ion channel","SCN4B","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/THM/TON"
"Q14524","SCN5A_HUMAN","Sodium channel protein type 5 subunit alpha (Sodium channel protein cardiac muscle subunit alpha) (Sodium channel protein type V subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.5) (hH1)","Ion channel","SCN5A","BRN/HRT/LUN/SKN/SPL/THM"
"Q01118","SCN7A_HUMAN","Sodium channel protein type 7 subunit alpha (Atypical sodium channel Nav2.1) (Nax channel) (Sodium channel protein type VII subunit alpha)","Ion channel","SCN7A",""
"Q9UQD0","SCN8A_HUMAN","Sodium channel protein type 8 subunit alpha (Sodium channel protein type VIII subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.6)","Ion channel","SCN8A","BRN/EYE/TES"
"Q15858","SCN9A_HUMAN","Sodium channel protein type 9 subunit alpha (Neuroendocrine sodium channel) (hNE-Na) (Peripheral sodium channel 1) (PN1) (Sodium channel protein type IX subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.7)","Ion channel","SCN9A","BAT/BRN/SKN/STM"
"P37088","SCNNA_HUMAN","Epithelial sodium channel subunit alpha (Alpha-ENaC) (ENaC subunit alpha) (ENaCA) (Epithelial Na(+) channel subunit alpha) (Alpha-NaCH) (Amiloride-sensitive sodium channel subunit alpha) (Nonvoltage-gated sodium channel 1 subunit alpha) (SCNEA) (Sodium channel epithelial 1 subunit alpha)","Ion channel","SCNN1A","KID/LUN/SKN/SPL/STM/THM"
"P51168","SCNNB_HUMAN","Epithelial sodium channel subunit beta (Beta-ENaC) (ENaC subunit beta) (ENaCB) (Epithelial Na(+) channel subunit beta) (Amiloride-sensitive sodium channel subunit beta) (Beta-NaCH) (Nonvoltage-gated sodium channel 1 subunit beta) (SCNEB)","Ion channel","SCNN1B","KID/LUN/SKN/THM/UB"
"P51172","SCNND_HUMAN","Epithelial sodium channel subunit delta (Delta-ENaC) (ENaCD) (Epithelial Na(+) channel subunit delta) (Amiloride-sensitive sodium channel subunit delta) (Delta-NaCH) (Nonvoltage-gated sodium channel 1 subunit delta) (SCNED)","Ion channel","SCNN1D",""
"P51170","SCNNG_HUMAN","Epithelial sodium channel subunit gamma (ENaC subunit gamma) (ENaCG) (Epithelial Na(+) channel subunit gamma) (Gamma-ENaC) (Amiloride-sensitive sodium channel subunit gamma) (Gamma-NaCH) (Nonvoltage-gated sodium channel 1 subunit gamma) (SCNEG) (Sodium channel epithelial 1 subunit gamma)","Ion channel","SCNN1G","KID/LUN/THM/UB"
"Q9H2B4","S26A1_HUMAN","Sulfate anion transporter 1 (SAT-1) (Solute carrier family 26 member 1)","Ion channel","SLC26A1","AD/BAT/BRN/EYE/GAT/KID/LIV/MAT/SPL"
"Q9BXS9","S26A6_HUMAN","Solute carrier family 26 member 6 (Anion exchange transporter) (Pendrin-like protein 1) (Pendrin-L1)","Ion channel","SLC26A6","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
"Q8TDI8","TMC1_HUMAN","Transmembrane channel-like protein 1 (Transmembrane cochlear-expressed protein 1)","Ion channel","TMC1",""
"Q7Z404","TMC4_HUMAN","Voltage-gated chloride channel TMC4 (Transmembrane channel-like protein 4)","Ion channel","TMC4","BRN/EYE/GAT/KID/LUN/MAT/PCR/PRS/SKN/SIT/SPL/STM/THM/UB"
"Q7Z403","TMC6_HUMAN","Transmembrane channel-like protein 6 (Epidermodysplasia verruciformis protein 1) (Protein LAK-4)","Ion channel","TMC6","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/UB"
"Q8IU68","TMC8_HUMAN","Transmembrane channel-like protein 8 (Epidermodysplasia verruciformis protein 2)","Ion channel","TMC8","AD/BAT/GAT/KID/LIV/LUN/MAT/PCR/SCAT/SKN/SIT/SPL/TES/THM/UB"
"Q9UM00","TMCO1_HUMAN","Calcium load-activated calcium channel (CLAC channel) (GEL complex subunit TMCO1) (Transmembrane and coiled-coil domain-containing protein 1) (Transmembrane and coiled-coil domains protein 4) (Xenogeneic cross-immune protein PCIA3)","Ion channel","TMCO1","AD/BAT/BRN/EYE/GAT/HRT/KID/LIV/LUN/MAT/SKM/PCR/PRS/SCAT/SKN/SIT/SPL/STM/TES/THM/TON/UB"
